customer_id,name,email,phone,age,sex,join_date,leave_date,churn_flag,subscription_plan,city,zip_code,last_login_date
48,David Smith,david.smith10@example.com,+1-511-979-8939,27,Male,2022-10-27,2023-01-24,1,Basic,Turku,45718,2023-12-15
49,Emily Miller,emily.miller91@yahoo.com,+1-786-936-1696,50,Female,2015-07-17,,0,Basic,Kuopio,70682,2019-10-21
50,Sarah Williams,sarah.williams53@gmail.com,+1-304-868-7057,66,Other,2017-06-28,,0,Free,Lahti,91926,2018-08-16
51,Michael Garcia,michael.garcia86@example.com,+1-302-543-7038,27,Female,2017-01-06,2021-02-14,1,Basic,Jyväskylä,22954,2021-08-04
52,Alex Smith,alex.smith56@yahoo.com,+1-790-868-1237,45,Male,2020-03-04,,0,Premium,Lahti,46488,2022-06-30
53,Emily Brown,emily.brown91@gmail.com,+1-607-650-4291,41,Other,2024-03-31,,0,Basic,Helsinki,51425,2025-04-14
54,Linda Smith,linda.smith82@gmail.com,+1-958-559-9118,57,Female,2016-12-16,,0,Basic,Lahti,75638,2023-07-14
55,Robert Garcia,robert.garcia12@gmail.com,+1-875-450-6202,51,Female,2019-04-02,2020-04-09,1,Premium,Lahti,43499,2019-09-15
56,Emily Johnson,emily.johnson33@gmail.com,+1-748-673-8686,32,Other,2017-12-01,,0,Enterprise,Kuopio,03165,2019-11-21
57,Sarah Miller,sarah.miller98@hotmail.com,+1-299-313-5479,27,Female,2018-05-18,,0,Enterprise,Turku,21872,2023-08-17
58,Sarah Williams,sarah.williams62@yahoo.com,+1-302-585-3792,47,Female,2025-02-20,2025-03-29,1,Premium,Tampere,57130,2025-03-15
59,Emily Miller,emily.miller41@yahoo.com,+1-890-943-6259,61,Other,2024-05-06,,0,Enterprise,Helsinki,36145,2025-02-08
60,Linda Davis,linda.davis94@yahoo.com,+1-576-588-8761,38,Female,2017-07-03,,0,Premium,Turku,05856,2023-08-13
61,Robert Garcia,robert.garcia59@example.com,+1-821-819-1787,58,Other,2017-05-31,,0,Basic,Lahti,65844,2022-06-21
62,Michael Jones,michael.jones15@gmail.com,+1-613-474-2334,75,Other,2024-06-19,,0,Premium,Jyväskylä,36365,2024-10-14
63,Robert Rodriguez,robert.rodriguez2@yahoo.com,+1-816-406-1943,66,Male,2023-09-04,,0,Premium,Jyväskylä,32476,2024-01-24
64,John Williams,john.williams11@gmail.com,+1-539-204-2019,46,Female,2019-02-03,,0,Basic,Oulu,87124,2021-07-19
65,Emily Smith,emily.smith57@hotmail.com,+1-709-434-8504,53,Male,2017-12-02,,0,Enterprise,Turku,94887,2020-01-02
66,Robert Williams,robert.williams1@example.com,+1-584-544-7779,29,Other,2017-11-30,,0,Premium,Kuopio,89176,2024-06-17
67,Michael Wilson,michael.wilson64@yahoo.com,+1-984-422-6468,62,Other,2017-12-04,,0,Basic,Helsinki,73051,2023-02-11
68,Jane Wilson,jane.wilson19@example.com,+1-738-309-9045,62,Other,2023-08-21,,0,Enterprise,Tampere,95239,2024-09-19
69,Emily Davis,emily.davis44@example.com,+1-738-433-4286,45,Other,2017-02-18,,0,Enterprise,Jyväskylä,42458,2020-04-01
70,Emily Miller,emily.miller45@example.com,+1-409-736-7001,65,Male,2020-09-21,,0,Premium,Jyväskylä,68543,2022-12-07
71,Alex Wilson,alex.wilson86@gmail.com,+1-360-383-1887,63,Female,2018-08-17,2019-10-26,1,Free,Oulu,85481,2022-11-25
72,John Miller,john.miller38@gmail.com,+1-316-867-7565,77,Other,2024-04-26,2025-01-21,1,Premium,Tampere,34867,2024-09-27
73,Laura Brown,laura.brown33@yahoo.com,+1-482-454-1048,76,Other,2025-04-24,,0,Free,Lahti,97461,2025-04-25
74,Jane Davis,jane.davis75@yahoo.com,+1-546-846-8081,21,Other,2017-09-18,2018-06-02,1,Basic,Jyväskylä,77624,2024-10-28
75,Sarah Garcia,sarah.garcia66@gmail.com,+1-843-604-1017,71,Other,2018-09-03,,0,Basic,Lahti,31058,2019-02-23
76,Robert Brown,robert.brown14@hotmail.com,+1-931-748-6144,46,Female,2024-03-12,2024-06-08,1,Premium,Oulu,41827,2025-04-13
77,John Smith,john.smith63@hotmail.com,+1-732-484-4400,27,Other,2018-03-03,,0,Basic,Lahti,38120,2018-09-30
78,Jane Garcia,jane.garcia67@yahoo.com,+1-612-243-3873,36,Male,2019-07-09,,0,Free,Kuopio,47893,2020-02-01
79,Robert Williams,robert.williams16@example.com,+1-770-203-2829,78,Male,2019-03-16,2025-02-02,1,Basic,Oulu,97700,2023-10-06
80,Laura Smith,laura.smith25@gmail.com,+1-370-697-3588,61,Female,2020-03-24,,0,Basic,Tampere,87276,2020-11-28
81,Emily Johnson,emily.johnson43@example.com,+1-236-436-2528,66,Other,2018-09-05,,0,Enterprise,Oulu,00418,2020-07-17
82,Alex Wilson,alex.wilson57@yahoo.com,+1-383-873-1541,59,Female,2020-05-15,,0,Premium,Helsinki,75692,2021-10-10
83,Michael Garcia,michael.garcia74@gmail.com,+1-990-872-1893,64,Other,2017-08-26,,0,Free,Pori,42252,2024-03-19
84,Sarah Rodriguez,sarah.rodriguez84@yahoo.com,+1-405-269-3727,65,Female,2019-08-24,,0,Basic,Helsinki,93774,2025-03-05
85,Linda Rodriguez,linda.rodriguez9@example.com,+1-579-585-2933,34,Male,2023-09-03,,0,Basic,Kuopio,94193,2024-11-19
86,Alex Smith,alex.smith66@yahoo.com,+1-366-266-4607,78,Male,2024-02-20,,0,Free,Vantaa,08288,2024-11-18
87,Alex Brown,alex.brown27@hotmail.com,+1-878-857-4063,46,Male,2022-05-02,,0,Premium,Lahti,75095,2022-08-02
88,Robert Jones,robert.jones21@hotmail.com,+1-241-705-2053,50,Male,2022-11-17,2024-12-03,1,Enterprise,Oulu,42036,2024-12-31
89,Emily Garcia,emily.garcia83@hotmail.com,+1-362-803-4422,37,Male,2018-04-19,,0,Free,Jyväskylä,41475,2023-12-31
90,David Jones,david.jones29@hotmail.com,+1-560-866-3403,44,Female,2015-02-15,2019-10-18,1,Enterprise,Jyväskylä,63689,2019-01-14
91,John Miller,john.miller84@yahoo.com,+1-918-797-1855,22,Other,2025-01-27,,0,Enterprise,Helsinki,41984,2025-04-21
92,Alex Garcia,alex.garcia99@hotmail.com,+1-636-847-1412,33,Other,2016-05-17,,0,Basic,Vantaa,13845,2019-02-25
93,David Smith,david.smith69@gmail.com,+1-239-527-8298,18,Female,2022-06-05,2023-08-04,1,Premium,Lahti,49084,2022-09-05
94,John Garcia,john.garcia69@gmail.com,+1-649-267-8013,29,Male,2017-05-11,2023-01-16,1,Free,Pori,68082,2021-04-23
95,Emily Brown,emily.brown23@gmail.com,+1-351-579-6798,52,Other,2022-05-05,,0,Premium,Lahti,18412,2023-09-30
96,David Davis,david.davis6@hotmail.com,+1-739-472-3292,42,Female,2024-10-14,2024-11-11,1,Enterprise,Lahti,93148,2025-01-09
97,Sarah Miller,sarah.miller44@yahoo.com,+1-584-992-6297,78,Female,2020-09-20,,0,Premium,Jyväskylä,04557,2022-07-11
98,Sarah Johnson,sarah.johnson8@example.com,+1-277-442-8071,36,Other,2018-07-02,,0,Premium,Jyväskylä,98524,2019-12-19
99,Jane Williams,jane.williams7@example.com,+1-529-576-1727,71,Female,2022-10-14,2023-04-29,1,Basic,Helsinki,97671,2023-01-08
100,David Garcia,david.garcia29@yahoo.com,+1-336-229-1466,65,Male,2019-10-26,2023-11-29,1,Enterprise,Kuopio,45873,2022-01-13
101,Michael Garcia,michael.garcia14@hotmail.com,+1-813-912-5624,73,Female,2023-03-14,,0,Free,Kuopio,16467,2023-06-08
102,Alex Smith,alex.smith9@gmail.com,+1-526-892-5314,56,Female,2019-02-15,,0,Free,Pori,96219,2021-09-17
103,Jane Davis,jane.davis95@yahoo.com,+1-361-670-5556,66,Other,2016-01-23,2021-08-24,1,Premium,Espoo,66041,2020-10-13
104,Laura Wilson,laura.wilson30@gmail.com,+1-862-838-6183,28,Male,2023-08-22,,0,Basic,Espoo,17356,2024-10-18
105,Robert Smith,robert.smith54@example.com,+1-272-538-3658,22,Other,2016-09-28,2020-07-24,1,Basic,Pori,75483,2024-04-07
106,Sarah Brown,sarah.brown36@hotmail.com,+1-460-626-1724,62,Male,2017-10-04,,0,Free,Helsinki,82773,2022-07-02
107,David Rodriguez,david.rodriguez56@example.com,+1-717-272-3128,48,Male,2023-08-06,,0,Enterprise,Lahti,57207,2024-03-26
108,Jane Miller,jane.miller48@hotmail.com,+1-417-904-2355,67,Male,2021-07-12,,0,Free,Kuopio,07498,2025-04-21
109,Jane Rodriguez,jane.rodriguez7@gmail.com,+1-850-742-5803,77,Other,2023-01-14,,0,Premium,Helsinki,09995,2024-06-16
110,Michael Wilson,michael.wilson21@yahoo.com,+1-991-887-7945,31,Male,2016-02-03,2016-10-04,1,Enterprise,Helsinki,19143,2018-11-27
111,Linda Rodriguez,linda.rodriguez15@example.com,+1-358-996-5992,23,Male,2016-03-25,,0,Basic,Jyväskylä,52729,2023-05-16
112,David Wilson,david.wilson95@hotmail.com,+1-268-389-6232,63,Male,2021-09-29,,0,Premium,Helsinki,44276,2023-10-08
113,David Miller,david.miller95@gmail.com,+1-746-801-8293,79,Male,2018-10-04,,0,Basic,Vantaa,03546,2019-06-18
114,Laura Jones,laura.jones50@gmail.com,+1-362-539-3797,65,Male,2022-09-02,,0,Enterprise,Helsinki,22312,2023-10-09
115,Linda Johnson,linda.johnson12@hotmail.com,+1-495-291-9142,32,Male,2016-07-30,2023-03-05,1,Basic,Turku,36881,2020-12-09
116,Laura Johnson,laura.johnson5@hotmail.com,+1-571-435-7952,63,Other,2021-12-08,2022-09-29,1,Enterprise,Lahti,29719,2025-02-06
117,Michael Smith,michael.smith3@gmail.com,+1-432-813-4041,39,Other,2020-06-28,,0,Free,Jyväskylä,19071,2021-07-31
118,Jane Rodriguez,jane.rodriguez6@example.com,+1-397-789-1229,50,Other,2018-12-28,,0,Free,Vantaa,97996,2024-01-12
119,Laura Miller,laura.miller52@hotmail.com,+1-779-440-9174,24,Female,2020-06-21,,0,Enterprise,Jyväskylä,32996,2025-02-07
120,Emily Brown,emily.brown42@gmail.com,+1-907-200-4485,72,Male,2022-07-08,2024-02-14,1,Free,Turku,37274,2022-08-22
121,Linda Brown,linda.brown14@example.com,+1-536-721-9525,31,Female,2017-04-20,,0,Free,Lahti,26129,2019-01-11
122,Jane Garcia,jane.garcia51@yahoo.com,+1-482-496-6473,75,Other,2024-10-15,,0,Basic,Pori,57579,2024-11-04
123,Laura Miller,laura.miller16@example.com,+1-897-237-3712,57,Female,2023-08-28,,0,Enterprise,Turku,54547,2024-05-03
124,Alex Jones,alex.jones69@hotmail.com,+1-946-897-3946,76,Female,2018-12-07,,0,Enterprise,Lahti,92686,2022-04-24
125,Jane Smith,jane.smith42@hotmail.com,+1-381-864-4678,70,Male,2016-09-10,,0,Enterprise,Espoo,50303,2022-06-03
126,Laura Williams,laura.williams17@example.com,+1-334-935-8424,48,Other,2019-06-23,2024-03-15,1,Premium,Oulu,40135,2021-11-09
127,Michael Williams,michael.williams21@example.com,+1-937-887-4038,24,Female,2022-10-22,,0,Free,Jyväskylä,83097,2025-02-23
128,Alex Brown,alex.brown15@yahoo.com,+1-721-530-4445,26,Other,2022-04-27,2023-09-30,1,Basic,Helsinki,13271,2025-04-22
129,David Johnson,david.johnson63@example.com,+1-447-738-3905,23,Female,2015-04-26,,0,Enterprise,Turku,57580,2025-02-26
130,Robert Rodriguez,robert.rodriguez25@yahoo.com,+1-971-289-6323,19,Other,2023-12-30,2024-08-28,1,Free,Kuopio,77990,2025-01-03
131,Emily Johnson,emily.johnson81@example.com,+1-351-604-4969,43,Male,2020-05-12,,0,Free,Espoo,86418,2024-01-05
132,Laura Smith,laura.smith65@yahoo.com,+1-314-795-7788,55,Male,2021-02-11,2022-05-05,1,Free,Lahti,62064,2024-09-17
133,Robert Rodriguez,robert.rodriguez88@example.com,+1-520-262-2454,40,Other,2022-11-14,2023-06-29,1,Enterprise,Oulu,27981,2022-11-17
134,Michael Smith,michael.smith33@yahoo.com,+1-778-948-5254,68,Male,2025-03-16,2025-03-24,1,Free,Helsinki,04520,2025-04-24
135,Laura Davis,laura.davis51@hotmail.com,+1-433-306-4685,68,Male,2018-03-29,2020-03-08,1,Enterprise,Vantaa,38721,2023-01-22
136,Emily Wilson,emily.wilson42@yahoo.com,+1-878-237-1071,52,Other,2015-06-02,2022-09-08,1,Enterprise,Vantaa,99165,2024-10-20
137,Laura Davis,laura.davis23@example.com,+1-590-629-6571,33,Other,2016-11-25,2018-03-28,1,Basic,Lahti,11383,2022-04-04
138,David Williams,david.williams36@gmail.com,+1-289-972-3105,48,Other,2018-06-29,2025-03-14,1,Basic,Jyväskylä,31068,2019-07-15
139,Robert Garcia,robert.garcia69@hotmail.com,+1-905-784-4221,56,Other,2019-01-26,,0,Free,Lahti,97871,2019-06-24
140,John Johnson,john.johnson76@example.com,+1-361-555-6610,57,Female,2021-07-12,2022-11-05,1,Enterprise,Jyväskylä,02545,2024-09-16
141,Alex Brown,alex.brown60@hotmail.com,+1-502-675-7424,22,Male,2024-04-13,,0,Basic,Espoo,79676,2025-01-20
142,Alex Rodriguez,alex.rodriguez88@hotmail.com,+1-538-679-3796,37,Female,2024-04-11,,0,Free,Turku,96445,2024-08-12
143,Alex Miller,alex.miller32@yahoo.com,+1-407-917-6350,28,Female,2019-06-29,,0,Enterprise,Oulu,04833,2024-11-06
144,Michael Williams,michael.williams63@hotmail.com,+1-500-719-4632,20,Female,2020-05-23,2022-09-23,1,Premium,Lahti,56025,2023-05-12
145,Alex Rodriguez,alex.rodriguez45@gmail.com,+1-464-470-5484,66,Other,2022-08-31,,0,Free,Pori,11838,2024-03-03
146,Linda Rodriguez,linda.rodriguez37@hotmail.com,+1-843-403-8138,55,Other,2022-05-22,2022-07-26,1,Free,Tampere,81462,2022-10-08
147,Alex Williams,alex.williams31@hotmail.com,+1-434-228-8278,62,Female,2016-06-05,,0,Enterprise,Turku,31745,2018-02-14
148,Linda Miller,linda.miller5@hotmail.com,+1-221-301-6066,21,Other,2017-12-28,,0,Premium,Vantaa,02354,2024-02-09
149,Laura Brown,laura.brown65@yahoo.com,+1-417-397-8327,61,Other,2022-12-24,,0,Basic,Vantaa,63997,2023-03-10
150,Jane Rodriguez,jane.rodriguez54@gmail.com,+1-958-278-6348,44,Female,2022-10-28,,0,Enterprise,Lahti,12951,2024-09-28
151,David Jones,david.jones71@example.com,+1-366-539-8439,75,Female,2016-01-16,,0,Basic,Kuopio,17583,2017-08-02
152,Emily Smith,emily.smith6@gmail.com,+1-933-546-9264,43,Other,2016-02-05,,0,Enterprise,Jyväskylä,23249,2018-06-16
153,Laura Johnson,laura.johnson76@yahoo.com,+1-554-759-5070,73,Other,2019-04-29,,0,Enterprise,Turku,56992,2023-05-30
154,Linda Miller,linda.miller35@example.com,+1-855-943-6702,33,Other,2018-12-20,,0,Premium,Turku,05676,2024-01-05
155,John Miller,john.miller54@hotmail.com,+1-629-398-2244,52,Female,2016-07-12,2023-06-21,1,Enterprise,Pori,85645,2017-01-08
156,Michael Brown,michael.brown46@example.com,+1-709-435-8801,45,Other,2021-07-18,2021-11-16,1,Free,Turku,58984,2025-03-07
157,Alex Williams,alex.williams36@gmail.com,+1-473-444-4761,73,Female,2020-06-23,2021-05-09,1,Enterprise,Lahti,25082,2020-07-19
158,Jane Smith,jane.smith21@yahoo.com,+1-227-862-2448,49,Other,2016-11-17,,0,Basic,Pori,15007,2022-06-13
159,Emily Brown,emily.brown66@yahoo.com,+1-687-347-1703,45,Male,2019-12-20,2020-05-28,1,Premium,Jyväskylä,73649,2020-07-23
160,Robert Rodriguez,robert.rodriguez14@gmail.com,+1-265-675-1738,50,Female,2015-08-06,2015-12-23,1,Basic,Lahti,22768,2020-08-15
161,Alex Brown,alex.brown74@yahoo.com,+1-646-863-9538,44,Other,2025-02-21,,0,Premium,Jyväskylä,62370,2025-03-12
162,David Brown,david.brown50@gmail.com,+1-415-667-5923,26,Female,2018-07-15,2021-09-12,1,Premium,Tampere,09928,2021-04-28
163,Alex Garcia,alex.garcia18@example.com,+1-475-321-2260,47,Other,2018-01-30,,0,Free,Helsinki,79629,2021-11-13
164,Laura Miller,laura.miller46@example.com,+1-768-286-8836,32,Female,2015-04-30,2018-08-24,1,Premium,Turku,87178,2015-06-04
165,Linda Jones,linda.jones35@hotmail.com,+1-793-923-4457,70,Female,2017-06-04,,0,Enterprise,Oulu,94156,2018-08-07
166,Alex Williams,alex.williams61@yahoo.com,+1-591-524-9942,22,Male,2019-07-24,,0,Enterprise,Helsinki,54974,2020-06-25
167,Linda Garcia,linda.garcia1@gmail.com,+1-790-280-9190,67,Male,2023-07-21,,0,Premium,Tampere,55675,2024-05-07
168,Laura Wilson,laura.wilson17@example.com,+1-483-331-4252,43,Male,2021-03-05,,0,Premium,Pori,39161,2025-04-13
169,Jane Jones,jane.jones2@gmail.com,+1-274-394-4458,75,Other,2021-01-20,,0,Basic,Oulu,30434,2024-08-30
170,Laura Johnson,laura.johnson16@gmail.com,+1-229-443-8325,40,Other,2023-08-13,,0,Premium,Oulu,28732,2024-10-26
171,Sarah Brown,sarah.brown46@yahoo.com,+1-407-933-9932,40,Female,2019-12-05,,0,Basic,Vantaa,01715,2020-08-06
172,David Smith,david.smith57@yahoo.com,+1-428-675-1657,75,Male,2023-10-24,,0,Premium,Kuopio,00871,2025-02-12
173,Robert Smith,robert.smith54@gmail.com,+1-741-296-2753,28,Other,2019-10-27,,0,Enterprise,Helsinki,35908,2023-02-17
174,Alex Garcia,alex.garcia20@yahoo.com,+1-926-579-1227,52,Female,2015-02-18,,0,Premium,Vantaa,17449,2018-10-28
175,Michael Smith,michael.smith66@hotmail.com,+1-792-600-6199,22,Male,2023-11-06,,0,Free,Lahti,10394,2025-03-17
176,Alex Garcia,alex.garcia34@hotmail.com,+1-287-860-5132,41,Male,2018-06-30,,0,Free,Turku,49981,2020-12-26
177,Alex Garcia,alex.garcia83@example.com,+1-724-630-1659,42,Male,2024-08-18,,0,Enterprise,Pori,27476,2025-01-11
178,Emily Miller,emily.miller68@yahoo.com,+1-232-940-3940,57,Other,2022-05-20,2025-03-05,1,Free,Espoo,97018,2025-04-16
179,Jane Smith,jane.smith55@yahoo.com,+1-872-973-5482,66,Other,2020-07-20,2022-04-01,1,Premium,Kuopio,05916,2022-03-30
180,Sarah Garcia,sarah.garcia92@example.com,+1-723-955-5678,67,Male,2022-02-02,,0,Free,Jyväskylä,51934,2024-06-22
181,Robert Brown,robert.brown73@hotmail.com,+1-324-794-9449,51,Other,2024-06-09,2025-04-01,1,Enterprise,Kuopio,25090,2024-08-05
182,Laura Smith,laura.smith34@hotmail.com,+1-467-382-5232,79,Other,2019-10-03,,0,Basic,Espoo,72044,2020-11-19
183,Sarah Wilson,sarah.wilson47@yahoo.com,+1-830-223-9343,46,Other,2015-11-09,,0,Premium,Kuopio,41451,2023-02-10
184,John Wilson,john.wilson77@hotmail.com,+1-487-351-6136,48,Female,2020-07-02,,0,Premium,Kuopio,12332,2023-11-17
185,Alex Johnson,alex.johnson92@hotmail.com,+1-274-766-4802,76,Male,2022-11-09,2024-11-30,1,Enterprise,Oulu,51469,2023-08-31
186,Robert Brown,robert.brown88@hotmail.com,+1-622-816-3472,40,Other,2018-09-30,,0,Enterprise,Espoo,11577,2025-02-08
187,Sarah Jones,sarah.jones54@hotmail.com,+1-565-295-5922,76,Male,2017-07-11,,0,Free,Pori,75545,2021-06-17
188,Michael Williams,michael.williams3@yahoo.com,+1-637-424-1681,66,Other,2018-07-13,,0,Enterprise,Lahti,46216,2022-12-17
189,David Jones,david.jones20@yahoo.com,+1-765-329-8161,30,Male,2024-07-13,,0,Basic,Vantaa,92283,2024-07-24
190,Laura Davis,laura.davis83@yahoo.com,+1-808-429-9546,38,Male,2023-05-09,,0,Enterprise,Lahti,07454,2024-03-16
191,Laura Smith,laura.smith38@example.com,+1-755-989-7269,24,Other,2016-05-26,,0,Premium,Pori,19555,2019-07-11
192,Jane Miller,jane.miller85@hotmail.com,+1-849-785-4704,74,Female,2019-11-19,2024-07-01,1,Premium,Pori,87732,2025-01-10
193,Michael Williams,michael.williams88@gmail.com,+1-506-510-3523,45,Other,2023-05-25,2024-04-27,1,Free,Oulu,24129,2023-11-12
194,Emily Garcia,emily.garcia59@example.com,+1-434-744-9034,59,Female,2015-05-13,2024-02-19,1,Basic,Jyväskylä,79988,2016-09-15
195,Michael Jones,michael.jones6@example.com,+1-913-209-7833,54,Male,2023-07-18,,0,Basic,Vantaa,02250,2023-12-24
196,Sarah Jones,sarah.jones22@hotmail.com,+1-795-327-8401,65,Other,2023-05-15,2023-05-27,1,Enterprise,Oulu,43764,2023-08-26
197,Linda Miller,linda.miller11@yahoo.com,+1-949-886-7712,51,Female,2021-10-29,,0,Premium,Espoo,74452,2024-11-13
198,Alex Brown,alex.brown33@yahoo.com,+1-212-217-2389,55,Other,2024-05-29,,0,Enterprise,Lahti,86766,2025-03-27
199,Laura Johnson,laura.johnson60@gmail.com,+1-931-417-8267,22,Male,2015-04-30,2023-01-21,1,Premium,Pori,48454,2019-03-10
200,John Williams,john.williams52@hotmail.com,+1-708-761-4112,64,Other,2021-07-01,,0,Free,Tampere,08736,2022-04-02
